UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,XGCSWGS84,YGCSWGS84
2019,1,15,6,3,5,2,1,1,1,0,0,6.974220885000023,50.97511771000006
2019,1,8,6,3,0,2,0,1,1,0,0,7.79655929300003,51.657306332000076
2019,1,20,5,3,4,2,2,1,1,0,0,7.646820702000071,51.96417841300007
2019,1,15,5,3,6,3,0,1,0,1,0,7.003959293000037,50.96192968300005
2019,1,19,4,3,3,6,2,1,0,0,0,7.619863259000056,51.95501449000005
2019,1,9,4,3,0,1,0,1,0,0,0,7.838165862000039,51.69519133300008
2019,1,18,2,3,5,2,2,1,1,0,0,7.047159117000035,50.92983498600006
2019,1,17,2,2,5,3,2,1,1,0,0,6.924533214000064,50.93675567300005
2019,1,0,1,2,5,3,2,1,1,0,0,7.636599663000027,51.95291175600005
2019,1,18,1,3,0,5,2,1,1,0,0,6.932611591000068,50.93606966700003
2019,1,13,6,3,5,2,0,1,1,0,0,7.553021717000036,51.95261252500006
2019,1,1,5,3,0,1,2,1,0,0,0,7.636345630000051,51.961905724000076
2019,1,7,5,3,5,3,1,1,1,0,0,6.949022950000028,50.93542911900005
2019,1,20,4,3,3,6,2,1,0,0,0,7.633261623000067,51.95344184900006
2019,1,13,4,2,0,1,0,1,0,0,0,7.57015851500006,51.99001986800005
2019,1,7,2,3,0,1,1,1,0,0,0,7.56023976900002,52.01909893800007
2019,1,14,2,3,5,3,0,1,1,0,0,7.028716991000067,50.98619436900003
2019,1,6,7,2,4,6,2,1,1,0,0,7.031101828000033,50.899648134000074
2019,1,9,6,3,0,1,0,1,0,0,0,7.716430640000056,51.64940206600005
2019,1,13,5,3,5,3,0,1,1,0,0,7.883484475000046,51.68589516700007
2019,1,23,4,3,1,5,2,1,1,0,0,7.646698889000049,51.96355982500006
2019,1,16,4,3,5,6,0,1,1,0,0,7.625929598000028,51.955665476000036
2019,1,7,4,3,5,3,1,1,1,0,0,7.622239004000051,51.89373098200008
